topic,title,pmid,doi,pubmed_url
Cancer Immunotherapy Resistance,Mechanisms of Cancer Resistance to Immunotherapy,32850400,,https://pubmed.ncbi.nlm.nih.gov/32850400/
Cancer Immunotherapy Resistance,"Cancer immunotherapy resistance based on immune checkpoints inhibitors: Targets, biomarkers, and remedies",32736034,10.1016/j.phrs.2020.104890,https://pubmed.ncbi.nlm.nih.gov/32736034/
Cancer Immunotherapy Resistance,Defining and Understanding Adaptive Resistance in Cancer Immunotherapy,29802087,10.1016/j.it.2018.05.001,https://pubmed.ncbi.nlm.nih.gov/29802087/
Cancer Immunotherapy Resistance,Immunotherapy resistance in solid tumors: mechanisms and potential solutions,38389121,10.1080/15384047.2024.2315655,https://pubmed.ncbi.nlm.nih.gov/38389121/
Antibiotic Resistance,Antimicrobial resistance: a global multifaceted phenomenon,26343252,10.1179/2047773215Y.0000000030,https://pubmed.ncbi.nlm.nih.gov/26343252/
Antibiotic Resistance,A review of current antibiotic resistance and promising antibiotics with novel modes of action to combat antibiotic resistance,37863957,10.1007/s00203-023-03699-2,https://pubmed.ncbi.nlm.nih.gov/37863957/
Antibiotic Resistance,Novel drug candidates against antibiotic-resistant microorganisms: A review,38234674,10.22038/IJBMS.2023.71672.15593,https://pubmed.ncbi.nlm.nih.gov/38234674/
Antibiotic Resistance,Combatting antibiotic resistance: challenges and emerging therapeutic strategies,41653009,10.1080/17460913.2026.2627823,https://pubmed.ncbi.nlm.nih.gov/41653009/
Alzheimer's Disease Biomarkers,Overview of the blood biomarkers in Alzheimer's disease: Promises and challenges,36371265,,https://pubmed.ncbi.nlm.nih.gov/36371265/
Alzheimer's Disease Biomarkers,Blood-based biomarkers for Alzheimer's disease-An update,30352211,,https://pubmed.ncbi.nlm.nih.gov/30352211/
Alzheimer's Disease Biomarkers,Biomarkers for Alzheimer's disease across diverse biological domains: an umbrella review and evidence map,40680830,10.1016/j.jare.2025.07.022,https://pubmed.ncbi.nlm.nih.gov/40680830/
Drug Repurposing for Cancer,Drug Repurposing for Cancer Treatment: A Comprehensive Review,39596504,10.3390/ijms252212441,https://pubmed.ncbi.nlm.nih.gov/39596504/
Drug Repurposing for Cancer,Drug Repurposing in Oncology: A Systematic Review of Randomized Controlled Clinical Trials,37296934,10.3390/cancers15112972,https://pubmed.ncbi.nlm.nih.gov/37296934/
Drug Repurposing for Cancer,Drug repurposing in oncology: a path beyond the bottleneck,40849858,10.1007/s12032-025-02994-w,https://pubmed.ncbi.nlm.nih.gov/40849858/
Drug Repurposing for Cancer,Drug repurposing in cancer,28712971,10.1016/j.phrs.2017.07.013,https://pubmed.ncbi.nlm.nih.gov/28712971/
CRISPR Gene Therapy,Therapeutic applications of CRISPR/Cas9 system in gene therapy,29704220,10.1007/s10529-018-2555-y,https://pubmed.ncbi.nlm.nih.gov/29704220/
CRISPR Gene Therapy,CRISPR-derived genome editing therapies: Progress from bench to bedside,34619370,,https://pubmed.ncbi.nlm.nih.gov/34619370/
CRISPR Gene Therapy,The molecular mechanism of CRISPR/Cas9 system and its application in gene therapy of human diseases,26496749,,https://pubmed.ncbi.nlm.nih.gov/26496749/
Tuberculosis Drug Resistance,Evolution of drug resistance in Mycobacterium tuberculosis: a review on the molecular determinants of resistance and implications for personalized care,29360989,10.1093/jac/dkx506,https://pubmed.ncbi.nlm.nih.gov/29360989/
Tuberculosis Drug Resistance,Drug resistant Tuberculosis: A review,33249329,10.1016/j.cimid.2020.101574,https://pubmed.ncbi.nlm.nih.gov/33249329/
Tuberculosis Drug Resistance,"Drug resistant tuberculosis: Implications for transmission, diagnosis, and disease management",36211964,10.3389/fcimb.2022.943545,https://pubmed.ncbi.nlm.nih.gov/36211964/
Tuberculosis Drug Resistance,Tuberculosis drug resistance profiling based on machine learning: A literature review,35176257,10.1016/j.bjid.2022.102332,https://pubmed.ncbi.nlm.nih.gov/35176257/
CAR-T Cell Therapy,"A guide to CAR T cell therapies: development, current status and future prospects",42393377,10.1038/s41577-026-01322-1,https://pubmed.ncbi.nlm.nih.gov/42393377/
CAR-T Cell Therapy,"CAR-T cell therapy in cancer immunotherapy - Biology, clinical successes, and emerging challenges: A review",42189068,10.17305/bb.2026.14266,https://pubmed.ncbi.nlm.nih.gov/42189068/
CAR-T Cell Therapy,CAR-T Cell Therapy: Challenges and Optimization,33822526,10.1615/CritRevImmunol.2021037253,https://pubmed.ncbi.nlm.nih.gov/33822526/
CAR-T Cell Therapy,FDA-approved CAR T-cell Therapy: A Decade of Progress and Challenges,39034731,,https://pubmed.ncbi.nlm.nih.gov/39034731/
Diabetes Treatment Response,A review of treatment response in type 2 diabetes: assessing the role of patient heterogeneity,20920036,10.1111/j.1463-1326.2010.01248.x,https://pubmed.ncbi.nlm.nih.gov/20920036/
Diabetes Treatment Response,"Heterogeneity of Pre-diabetes and Type 2 Diabetes: Implications for Prediction, Prevention and Treatment Responsiveness",25877695,10.2174/1573399811666150416122903,https://pubmed.ncbi.nlm.nih.gov/25877695/
Diabetes Treatment Response,Toward Personalized Medicine in Type 1 Diabetes: Understanding How Patient Heterogeneity Influences Therapeutic Efficacy,41913320,10.1111/dom.70711,https://pubmed.ncbi.nlm.nih.gov/41913320/
Personalized Cancer Treatment,Personalized cancer treatment and the myth of KRAS wild-type colon tumors,23636143,,https://pubmed.ncbi.nlm.nih.gov/23636143/
Personalized Cancer Treatment,Revolutionizing personalized cancer treatment: the synergy of next-generation sequencing and CRISPR/Cas9,38708901,10.1080/17410541.2024.2341610,https://pubmed.ncbi.nlm.nih.gov/38708901/
Personalized Cancer Treatment,Personalized cancer treatment for ovarian cancer,23679252,10.7314/APJCP.2013.14.3.1661,https://pubmed.ncbi.nlm.nih.gov/23679252/
Vaccine Effectiveness,Effectiveness of interventions to improve vaccine efficacy: a systematic review and meta-analysis,40346627,10.1186/s13643-025-02856-6,https://pubmed.ncbi.nlm.nih.gov/40346627/
Vaccine Effectiveness,"Tracking vaccine effectiveness in an evolving pandemic, countering misleading hot takes and epidemiologic fallacies",39218423,10.1093/aje/kwae280,https://pubmed.ncbi.nlm.nih.gov/39218423/
Parkinson's Disease Treatment,Parkinson's Disease: Current Treatment Modalities and Emerging Therapies,39803037,10.7759/cureus.75647,https://pubmed.ncbi.nlm.nih.gov/39803037/
